year,level_1,level_2,value
1988,Total,Finance & Insurance,1495.7
1988,Total,Business Services,1683
1988,Total,Other Services Industries,4278
1989,Total,Manufacturing,6483.1
1989,Total,Construction,1740
1989,Total,Utilities,305.3
1989,Total,Other Goods Industries,69.5
1989,Total,Wholesale & Retail Trade,3465.3
1989,Total,Transportation & Storage,2235.7
1989,Total,Accommodation & Food Services,949.9
1989,Total,Information & Communications,625
1989,Total,Finance & Insurance,1773
1989,Total,Business Services,1982.4
1989,Total,Other Services Industries,4895.2
1990,Total,Manufacturing,7627.3
1990,Total,Construction,1932.4
1990,Total,Utilities,322.7
1990,Total,Other Goods Industries,59
1990,Total,Wholesale & Retail Trade,4330.1
1990,Total,Transportation & Storage,2520.2
1990,Total,Accommodation & Food Services,1078
1990,Total,Information & Communications,626.6
1990,Total,Finance & Insurance,2069
1990,Total,Business Services,2530
1990,Total,Other Services Industries,5434.5
1991,Total,Manufacturing,8512.2
1991,Total,Construction,2258.1
1991,Total,Utilities,342.4
1991,Total,Other Goods Industries,55.5
1991,Total,Wholesale & Retail Trade,5116.6
1991,Total,Transportation & Storage,2951.1
1991,Total,Accommodation & Food Services,1131
1991,Total,Information & Communications,707.5
1991,Total,Finance & Insurance,2288.7
1991,Total,Business Services,3055.3
1991,Total,Other Services Industries,6009
1992,Total,Manufacturing,9302.6
1992,Total,Construction,2599.2
1992,Total,Utilities,350.5
1992,Total,Other Goods Industries,63.8
1992,Total,Wholesale & Retail Trade,5945.5
1992,Total,Transportation & Storage,3056
1992,Total,Accommodation & Food Services,1250.5
1992,Total,Information & Communications,687.5
1992,Total,Finance & Insurance,2567.2
1992,Total,Business Services,3451.5
1992,Total,Other Services Industries,6408.6
1993,Total,Manufacturing,9978.5
1993,Total,Construction,2897.8
1993,Total,Utilities,382.5
1993,Total,Other Goods Industries,60.6
1993,Total,Wholesale & Retail Trade,6825.2
1993,Total,Transportation & Storage,3414.2
1993,Total,Accommodation & Food Services,1374.8
1993,Total,Information & Communications,769.3
1993,Total,Finance & Insurance,3226.5
1993,Total,Business Services,3967.6
1993,Total,Other Services Industries,6958.9
1994,Total,Manufacturing,10919.6
1994,Total,Construction,3391.2
1994,Total,Utilities,451
1994,Total,Other Goods Industries,68.1
1994,Total,Wholesale & Retail Trade,7732.2
1994,Total,Transportation & Storage,3977.7
1994,Total,Accommodation & Food Services,1502.8
1994,Total,Information & Communications,869.5
1994,Total,Finance & Insurance,3896.5
1994,Total,Business Services,4576.1
1994,Total,Other Services Industries,8107.3
1995,Total,Manufacturing,11808.7
1995,Total,Construction,3782.9
1995,Total,Utilities,456.5
1995,Total,Other Goods Industries,68.3
1995,Total,Wholesale & Retail Trade,8592
1995,Total,Transportation & Storage,4504
1995,Total,Accommodation & Food Services,1645.9
1995,Total,Information & Communications,1084.7
1995,Total,Finance & Insurance,4226.6
1995,Total,Business Services,5324.1
1995,Total,Other Services Industries,8782.8
1996,Total,Manufacturing,12451.6
1996,Total,Construction,4603.8
1996,Total,Utilities,461.2
1996,Total,Other Goods Industries,71.7
1996,Total,Wholesale & Retail Trade,9392.9
1996,Total,Transportation & Storage,4754.1
1996,Total,Accommodation & Food Services,1841.5
1996,Total,Information & Communications,1368.9
1996,Total,Finance & Insurance,4998.1
1996,Total,Business Services,5712.5
1996,Total,Other Services Industries,9499.6
1997,Total,Manufacturing,13183.8
1997,Total,Construction,5311.5
1997,Total,Utilities,521.3
1997,Total,Other Goods Industries,73.2
1997,Total,Wholesale & Retail Trade,9974.2
1997,Total,Transportation & Storage,5012.4
1997,Total,Accommodation & Food Services,2012.6
1997,Total,Information & Communications,1579.4
1997,Total,Finance & Insurance,5870
1997,Total,Business Services,6253.8
1997,Total,Other Services Industries,10260.1
1998,Total,Manufacturing,13077.3
1998,Total,Construction,5577.6
1998,Total,Utilities,500.5
1998,Total,Other Goods Industries,71.3
1998,Total,Wholesale & Retail Trade,10167.3
1998,Total,Transportation & Storage,5315.3
1998,Total,Accommodation & Food Services,1994.3
1998,Total,Information & Communications,1693.3
1998,Total,Finance & Insurance,6112.4
1998,Total,Business Services,6813.5
1998,Total,Other Services Industries,10777.5
1999,Total,Manufacturing,12667.1
1999,Total,Construction,5151
1999,Total,Utilities,544
1999,Total,Other Goods Industries,66.5
1999,Total,Wholesale & Retail Trade,9611.1
1999,Total,Transportation & Storage,5257.3
1999,Total,Accommodation & Food Services,1982.3
1999,Total,Information & Communications,1815.6
1999,Total,Finance & Insurance,6334.9
1999,Total,Business Services,7371.8
1999,Total,Other Services Industries,10684
2000,Total,Manufacturing,14141.5
2000,Total,Construction,5193.4
2000,Total,Utilities,647.2
2000,Total,Other Goods Industries,60.4
2000,Total,Wholesale & Retail Trade,10717.5
2000,Total,Transportation & Storage,5729.5
2000,Total,Accommodation & Food Services,2065.9
2000,Total,Information & Communications,2534.6
2000,Total,Finance & Insurance,6748.1
2000,Total,Business Services,8642.5
2000,Total,Other Services Industries,12232.8
2001,Total,Manufacturing,14614.6
2001,Total,Construction,5115.1
2001,Total,Utilities,704.2
2001,Total,Other Goods Industries,56.3
2001,Total,Wholesale & Retail Trade,11318.3
2001,Total,Transportation & Storage,5514
2001,Total,Accommodation & Food Services,2218.1
2001,Total,Information & Communications,2946.5
2001,Total,Finance & Insurance,6985.4
2001,Total,Business Services,8592.3
2001,Total,Other Services Industries,13518.6
2002,Total,Manufacturing,14444.2
2002,Total,Construction,4677.7
2002,Total,Utilities,701.1
2002,Total,Other Goods Industries,52.1
2002,Total,Wholesale & Retail Trade,11799.5
2002,Total,Transportation & Storage,5752.3
2002,Total,Accommodation & Food Services,2079.1
2002,Total,Information & Communications,3020.4
2002,Total,Finance & Insurance,6789.9
2002,Total,Business Services,8484.6
2002,Total,Other Services Industries,14432.1
2003,Total,Manufacturing,14299.3
2003,Total,Construction,4310.6
2003,Total,Utilities,785.5
2003,Total,Other Goods Industries,48.9
2003,Total,Wholesale & Retail Trade,12266.3
2003,Total,Transportation & Storage,5885.5
2003,Total,Accommodation & Food Services,2050.9
2003,Total,Information & Communications,3052.6
2003,Total,Finance & Insurance,7056.7
2003,Total,Business Services,8696.7
2003,Total,Other Services Industries,14497.9
2004,Total,Manufacturing,14880.2
2004,Total,Construction,4139.4
2004,Total,Utilities,783.6
2004,Total,Other Goods Industries,49.9
2004,Total,Wholesale & Retail Trade,12497.7
2004,Total,Transportation & Storage,6165.4
2004,Total,Accommodation & Food Services,2125
2004,Total,Information & Communications,3282.3
2004,Total,Finance & Insurance,7843.4
2004,Total,Business Services,9655.1
2004,Total,Other Services Industries,15387.6
2005,Total,Manufacturing,15820
2005,Total,Construction,4227.5
2005,Total,Utilities,732.6
2005,Total,Other Goods Industries,52.8
2005,Total,Wholesale & Retail Trade,13708.8
2005,Total,Transportation & Storage,6699.7
2005,Total,Accommodation & Food Services,2199.2
2005,Total,Information & Communications,3795.4
2005,Total,Finance & Insurance,9468.2
2005,Total,Business Services,10686.2
2005,Total,Other Services Industries,15823.7
2006,Total,Manufacturing,17156.1
2006,Total,Construction,4437.3
2006,Total,Utilities,763.1
2006,Total,Other Goods Industries,52.5
2006,Total,Wholesale & Retail Trade,15371.3
2006,Total,Transportation & Storage,7156.7
2006,Total,Accommodation & Food Services,2333.6
2006,Total,Information & Communications,4088.5
2006,Total,Finance & Insurance,11174.9
2006,Total,Business Services,12505.2
2006,Total,Other Services Industries,17103.8
2007,Total,Manufacturing,18804.5
2007,Total,Construction,5059.9
2007,Total,Utilities,877.7
2007,Total,Other Goods Industries,54.9
2007,Total,Wholesale & Retail Trade,17644.4
2007,Total,Transportation & Storage,7791.1
2007,Total,Accommodation & Food Services,2571.2
2007,Total,Information & Communications,4563.7
2007,Total,Finance & Insurance,14423
2007,Total,Business Services,15023
2007,Total,Other Services Industries,18871.2
2008,Total,Manufacturing,20344.3
2008,Total,Construction,6181.6
2008,Total,Utilities,950.9
2008,Total,Other Goods Industries,56.5
2008,Total,Wholesale & Retail Trade,18656.5
2008,Total,Transportation & Storage,7955.6
2008,Total,Accommodation & Food Services,2823.3
2008,Total,Information & Communications,5024.4
2008,Total,Finance & Insurance,13550.9
2008,Total,Business Services,16293.9
2008,Total,Other Services Industries,20043.4
2009,Total,Manufacturing,19365.5
2009,Total,Construction,7084.6
2009,Total,Utilities,921
2009,Total,Other Goods Industries,58.9
2009,Total,Wholesale & Retail Trade,18707.8
2009,Total,Transportation & Storage,8273.7
2009,Total,Accommodation & Food Services,2795.7
2009,Total,Information & Communications,5583.7
2009,Total,Finance & Insurance,14544.6
2009,Total,Business Services,17051.7
2009,Total,Other Services Industries,21251.2
2010,Total,Manufacturing,20585.5
2010,Total,Construction,7827
2010,Total,Utilities,999.9
2010,Total,Other Goods Industries,60.2
2010,Total,Wholesale & Retail Trade,19536.2
2010,Total,Transportation & Storage,8697.7
2010,Total,Accommodation & Food Services,3231
2010,Total,Information & Communications,6215.2
2010,Total,Finance & Insurance,16487.4
2010,Total,Business Services,18366.8
2010,Total,Other Services Industries,24065.7
2011,Total,Manufacturing,21510.9
2011,Total,Construction,8484.7
2011,Total,Utilities,1036.4
2011,Total,Other Goods Industries,61
2011,Total,Wholesale & Retail Trade,20996.3
2011,Total,Transportation & Storage,9230.7
2011,Total,Accommodation & Food Services,3629.2
2011,Total,Information & Communications,6835.3
2011,Total,Finance & Insurance,18184.3
2011,Total,Business Services,19685.9
2011,Total,Other Services Industries,26294
2012,Total,Manufacturing,22124.6
2012,Total,Construction,9537.7
2012,Total,Utilities,1127.8
2012,Total,Other Goods Industries,62.5
2012,Total,Wholesale & Retail Trade,22061.5
2012,Total,Transportation & Storage,9961.9
2012,Total,Accommodation & Food Services,3952.5
2012,Total,Information & Communications,7579.5
2012,Total,Finance & Insurance,19476.9
2012,Total,Business Services,21333.4
2012,Total,Other Services Industries,27751
2013,Total,Manufacturing,23220.4
2013,Total,Construction,10559.6
2013,Total,Utilities,1259.1
2013,Total,Other Goods Industries,61.1
2013,Total,Wholesale & Retail Trade,23016.2
2013,Total,Transportation & Storage,10574.2
2013,Total,Accommodation & Food Services,4230.5
2013,Total,Information & Communications,8021.1
2013,Total,Finance & Insurance,20789.7
2013,Total,Business Services,23275.2
2013,Total,Other Services Industries,30414.4
2014,Total,Manufacturing,24407.4
2014,Total,Construction,11682.9
2014,Total,Utilities,1378.2
2014,Total,Other Goods Industries,63.8
2014,Total,Wholesale & Retail Trade,24306.7
2014,Total,Transportation & Storage,11407
2014,Total,Accommodation & Food Services,4513.6
2014,Total,Information & Communications,8891.3
2014,Total,Finance & Insurance,22845.5
2014,Total,Business Services,24881
2014,Total,Other Services Industries,32638.2
2015,Total,Manufacturing,24650.8
2015,Total,Construction,12387
2015,Total,Utilities,1448.2
2015,Total,Other Goods Industries,66.3
2015,Total,Wholesale & Retail Trade,25458.8
2015,Total,Transportation & Storage,12131
2015,Total,Accommodation & Food Services,4759
2015,Total,Information & Communications,9475.3
2015,Total,Finance & Insurance,24820.9
2015,Total,Business Services,26639.7
2015,Total,Other Services Industries,34982.6
2016,Total,Manufacturing,24345.8
2016,Total,Construction,12884.3
2016,Total,Utilities,1543.9
2016,Total,Other Goods Industries,67.3
2016,Total,Wholesale & Retail Trade,26124.4
2016,Total,Transportation & Storage,12695.1
2016,Total,Accommodation & Food Services,4940
2016,Total,Information & Communications,9981.6
2016,Total,Finance & Insurance,25404.1
2016,Total,Business Services,28030.8
2016,Total,Other Services Industries,36959.7
